GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,phh_wocomp,TimeFrame,GeoVintage,Source,Location
Census Tract,53053072000,WA,53053072000,53053072000,2.22,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072105,WA,53053072105,53053072105,2.55,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072106,WA,53053072106,53053072106,5.86,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072107,WA,53053072107,53053072107,4.59,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072108,WA,53053072108,53053072108,4.41,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072109,WA,53053072109,53053072109,3.56,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072111,WA,53053072111,53053072111,2.67,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072112,WA,53053072112,53053072112,5.42,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072305,WA,53053072305,53053072305,3.93,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072307,WA,53053072307,53053072307,3.73,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072309,WA,53053072309,53053072309,1.22,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072310,WA,53053072310,53053072310,7.09,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072311,WA,53053072311,53053072311,5.63,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072312,WA,53053072312,53053072312,3.01,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072313,WA,53053072313,53053072313,2.95,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072314,WA,53053072314,53053072314,7.72,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072315,WA,53053072315,53053072315,1.18,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072405,WA,53053072405,53053072405,2.63,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072406,WA,53053072406,53053072406,1.15,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072407,WA,53053072407,53053072407,2.24,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072408,WA,53053072408,53053072408,1.59,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072409,WA,53053072409,53053072409,1.03,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053072410,WA,53053072410,53053072410,2.55,2017-2021,2020,Census,"Pierce (County, 2020)"
