,census tract,income z-score,computers z-score,internet z-score,composite index value,,,,,,
166,53053073130,-0.279052314,-0.075616196,-2.360528532,276318089.20461,,,,,,
167,53053073131,0.332932728,-0.16057592,0.627521252,276318089.22812,,,,,,
168,53053073132,0.186541402,-0.520020904,0.130724654,276318089.22811,,,,,,
169,53053073133,0.571458456,0.228278199,0.651755232,276318089.24193,,,,,,
170,53053073200,-0.012886266,0.153121521,-0.152812917,276318089.58327,,,,,,
171,53053073301,-0.572228703,-0.114828376,-0.23520845,276318090.10457,,,,,,
172,53053073302,0.059246308,0.362253148,0.49423436,276318090.11935,,,,,,
173,53053073404,-0.202431141,-1.947997795,-1.987325233,276318090.62428,,,,,,
174,53053073405,-0.662670037,-0.21939419,-1.06401058,276318090.64091,,,,,,
175,53053073406,-0.024580248,0.189066019,0.312479507,276318090.65873,,,,,,
176,53053073407,-0.565535179,-0.386045955,-1.335431161,276318090.64955,,,,,,
177,53053073408,-0.082065814,-0.21939419,-0.060723792,276318090.66478,,,,,,
178,53053073501,1.100286295,0.986380348,1.027381929,276318091.16726,,,,,,
179,53053073502,0.662254152,0.617132319,0.625097854,276318091.16617,,,,,,
180,53053940001,1.585212485,0.976577303,1.206713383,276322604.19150,,,,,,
181,53053940002,-0.279682293,0.195601383,-0.409693109,276322604.17451,,,,,,
182,53053940004,0.348760946,0.692288997,-0.247325441,276322604.19163,,,,,,
183,53053940005,0.184415223,0.198869064,0.460306787,276322604.19710,,,,,,
184,53053940006,-2.006060479,-1.666977171,-2.219971445,276322604.16722,,,,,,
185,53053940007,-0.755001306,-1.140880422,-1.296656792,276322604.18650,,,,,,
186,53053940008,0.468220678,0.042020344,0.474847175,276322604.21346,,,,,,
187,53053940009,1.181514188,0.626935364,0.564512903,276322604.22590,,,,,,
188,53053940010,-0.446941667,-0.993834746,-0.92830029,276322604.20641,,,,,,
189,53053940011,1.849724839,0.855673081,1.061309501,276322604.24358,,,,,,
190,53053940012,-0.57100812,0.760910312,0.019248344,276322604.23026,,,,,,
191,53053940013,0.922120412,0.388394601,0.685682805,276322604.24477,,,,,,
