GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,phh_wointernet,TimeFrame,GeoVintage,Source,Location
Census Tract,53033020500,WA,53033020500,53033020500,5.22,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020600,WA,53033020600,53033020600,5.19,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020700,WA,53033020700,53033020700,1.69,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020800,WA,53033020800,53033020800,10.57,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020900,WA,53033020900,53033020900,5.05,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021000,WA,53033021000,53033021000,5.18,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021100,WA,53033021100,53033021100,8.57,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021300,WA,53033021300,53033021300,4.93,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021400,WA,53033021400,53033021400,6.77,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021500,WA,53033021500,53033021500,1.82,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021600,WA,53033021600,53033021600,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021701,WA,53033021701,53033021701,1.1,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021702,WA,53033021702,53033021702,11.3,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021802,WA,53033021802,53033021802,1.13,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021803,WA,53033021803,53033021803,2.62,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021804,WA,53033021804,53033021804,8.98,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021903,WA,53033021903,53033021903,7.47,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021904,WA,53033021904,53033021904,2.38,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021905,WA,53033021905,53033021905,5.27,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021906,WA,53033021906,53033021906,2.97,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022001,WA,53033022001,53033022001,6.79,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022003,WA,53033022003,53033022003,2.09,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022005,WA,53033022005,53033022005,0.59,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022006,WA,53033022006,53033022006,2.06,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022101,WA,53033022101,53033022101,3.47,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022102,WA,53033022102,53033022102,1.77,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022201,WA,53033022201,53033022201,3.34,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022203,WA,53033022203,53033022203,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022204,WA,53033022204,53033022204,0.99,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022205,WA,53033022205,53033022205,4.85,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022300,WA,53033022300,53033022300,2.35,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022401,WA,53033022401,53033022401,0.89,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022402,WA,53033022402,53033022402,2.05,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022501,WA,53033022501,53033022501,2.23,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022502,WA,53033022502,53033022502,3.6,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022603,WA,53033022603,53033022603,3.11,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022604,WA,53033022604,53033022604,2.9,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022605,WA,53033022605,53033022605,0.57,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022606,WA,53033022606,53033022606,5.41,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022701,WA,53033022701,53033022701,1.24,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022702,WA,53033022702,53033022702,5.74,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022703,WA,53033022703,53033022703,1.32,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022802,WA,53033022802,53033022802,1.04,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022803,WA,53033022803,53033022803,1.84,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022804,WA,53033022804,53033022804,0.93,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022805,WA,53033022805,53033022805,5.93,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022901,WA,53033022901,53033022901,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033022902,WA,53033022902,53033022902,3.81,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023000,WA,53033023000,53033023000,3.6,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023100,WA,53033023100,53033023100,1.22,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023201,WA,53033023201,53033023201,11.74,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023202,WA,53033023202,53033023202,16.99,2017-2021,2020,Census,"King (County, 2020)"
