,census tract,income z-score,computers z-score,internet z-score,composite index value
236,53033023404,0.218867956,0.06521772,0.399438662,107790697.97700
237,53033023500,0.683837027,0.323826406,0.308297481,107790698.17341
238,53033023601,0.4136155,-0.046082221,0.376002358,107790698.37753
239,53033023603,0.70994921,0.674093867,0.594741192,107790698.38410
240,53033023604,-0.188244711,-0.432358486,0.636405732,107790698.38215
241,53033023701,1.589990277,0.464588096,0.899413139,107790698.58527
242,53033023702,0.148793284,1.001446634,1.14419231,107790698.58596
243,53033023801,0.116094873,1.001446634,0.748379182,107790698.78631
244,53033023805,0.530957412,1.001446634,0.831708262,107790698.79546
245,53033023806,0.732035183,-0.497829039,0.678070271,107790698.79454
246,53033023807,0.52071734,-0.163929217,0.217156301,107790698.79588
247,53033023808,0.355340183,1.001446634,1.14419231,107790698.80183
248,53033023901,0.882750419,-0.684420117,-0.022414803,107790698.98613
249,53033023902,3.164354747,1.001446634,1.14419231,107790698.99860
250,53033024001,1.362218501,0.225620576,0.180699829,107790699.19262
251,53033024002,0.980077646,0.386023432,0.94888978,107790699.19576
252,53033024100,3.164354747,0.716649726,0.933265577,107790699.40003
253,53033024200,2.198506535,-0.023167527,0.329129751,107790699.59859
254,53033024301,-0.377499854,-2.389928033,-1.480673693,107790699.79015
255,53033024302,1.899263714,1.001446634,0.503600011,107790699.80773
256,53033024400,-0.271654749,0.536605704,0.94888978,107790700.00247
257,53033024500,2.99809322,1.001446634,1.021802724,107790700.21346
258,53033024601,3.164354747,0.801761446,1.016594657,107790700.41866
259,53033024602,3.164354747,0.228894103,0.508808079,107790700.41850
260,53033024701,-0.417296496,0.831223195,1.14419231,107790700.61496
261,53033024703,1.51384138,-0.095185136,0.618177496,107790700.61999
262,53033024704,1.152017758,1.001446634,1.14419231,107790700.62459
263,53033024800,-0.016304599,1.001446634,0.792647756,107790700.81662
264,53033024901,1.86686785,0.860684944,0.922849442,107790701.02571
265,53033024902,1.606979487,1.001446634,0.94888978,107790701.02756
266,53033024904,2.761617384,1.001446634,1.14419231,107790701.03436
267,53033024905,2.827223661,1.001446634,1.14419231,107790701.03653
