GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mhhinc,TimeFrame,GeoVintage,Source,Location
Census Tract,53033007902,WA,53033007902,53033007902,75074,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008002,WA,53033008002,53033008002,102365,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008003,WA,53033008003,53033008003,108111,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008004,WA,53033008004,53033008004,180086,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008101,WA,53033008101,53033008101,87820,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008102,WA,53033008102,53033008102,107250,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008200,WA,53033008200,53033008200,116250,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008300,WA,53033008300,53033008300,102962,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008401,WA,53033008401,53033008401,74622,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008402,WA,53033008402,53033008402,70989,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008500,WA,53033008500,53033008500,72520,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008600,WA,53033008600,53033008600,66607,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008700,WA,53033008700,53033008700,144531,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008800,WA,53033008800,53033008800,143583,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008900,WA,53033008900,53033008900,118149,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009000,WA,53033009000,53033009000,64865,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009100,WA,53033009100,53033009100,41619,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009200,WA,53033009200,53033009200,36875,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009300,WA,53033009300,53033009300,111875,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009400,WA,53033009400,53033009400,80288,2017-2021,2020,Census,"King (County, 2020)"
